date,sales,channel1,channel2,channel3,event_bf,event_summer
2023-01-02,188081.87,8559.95,18121.64,14055.97,0.0,0.0
2023-01-09,145698.65,19951.55,0.0,2775.13,0.0,0.0
2023-01-16,176257.6,18564.11,0.0,8219.12,0.0,0.0
2023-01-23,213286.73,4922.58,17851.56,6782.28,0.0,0.0
2023-01-30,137048.48,3169.46,0.0,3637.16,0.0,0.0
2023-02-06,195440.13,18504.4,17229.56,4513.17,0.0,0.0
2023-02-13,199303.36,3381.57,0.0,16845.2,0.0,0.0
2023-02-20,155560.91,4448.9,0.0,6780.43,0.0,0.0
2023-02-27,157588.28,7713.07,0.0,7605.93,0.0,0.0
2023-03-06,182872.7,17671.89,0.0,19660.61,0.0,0.0
2023-03-13,235998.61,17717.23,19578.59,19060.33,0.0,0.0
2023-03-20,175733.35,6405.35,0.0,4238.05,0.0,0.0
2023-03-27,162225.3,6480.57,0.0,4567.08,0.0,0.0
2023-04-03,148910.38,4142.15,0.0,6130.42,0.0,0.0
2023-04-10,141162.96,17492.76,0.0,3297.79,0.0,0.0
2023-04-17,179186.32,18577.33,0.0,7135.53,0.0,0.0
2023-04-24,190654.56,7084.93,19929.15,2308.37,0.0,0.0
2023-05-01,211789.56,17524.72,0.0,12717.4,0.0,0.0
2023-05-08,176183.5,15787.25,0.0,11243.54,0.0,0.0
2023-05-15,182407.6,8020.22,0.0,18634.93,0.0,0.0
2023-05-22,166402.99,14016.79,0.0,4010.03,0.0,0.0
2023-05-29,164835.89,15180.03,0.0,5846.64,0.0,0.0
2023-06-05,117920.06,7977.03,0.0,606.82,0.0,0.0
2023-06-12,208465.27,17781.15,17081.24,5718.97,0.0,0.0
2023-06-19,168983.53,15177.12,0.0,2945.54,0.0,0.0
2023-06-26,161096.26,18054.12,0.0,3286.72,0.0,0.0
2023-07-03,177329.61,5754.99,0.0,8811.49,0.0,0.0
2023-07-10,209972.25,14969.09,0.0,5061.76,0.0,1.0
2023-07-17,257379.48,16071.89,19957.25,7148.39,0.0,1.0
2023-07-24,186984.41,4496.83,0.0,5750.21,0.0,0.0
2023-07-31,194981.55,17333.85,0.0,19598.45,0.0,0.0
2023-08-07,129687.27,14284.91,0.0,702.55,0.0,0.0
2023-08-14,129808.58,6922.06,0.0,3752.61,0.0,0.0
2023-08-21,126990.51,7935.39,0.0,2789.39,0.0,0.0
2023-08-28,168174.57,6900.94,0.0,11639.61,0.0,0.0
2023-09-04,155652.76,2974.69,0.0,11972.47,0.0,0.0
2023-09-11,107048.94,4256.3,0.0,970.32,0.0,0.0
2023-09-18,176144.37,14679.7,0.0,11510.44,0.0,0.0
2023-09-25,177424.07,9113.78,0.0,10097.74,0.0,0.0
2023-10-02,223959.02,14410.71,19549.01,9439.05,0.0,0.0
2023-10-09,194698.18,19423.77,0.0,7283.7,0.0,0.0
2023-10-16,168085.16,9167.93,0.0,4972.27,0.0,0.0
2023-10-23,163730.94,5077.83,0.0,7518.96,0.0,0.0
2023-10-30,126685.46,3499.53,0.0,2668.38,0.0,0.0
2023-11-06,173909.16,7013.99,0.0,13483.66,0.0,0.0
2023-11-13,140362.36,6214.05,0.0,4572.03,0.0,0.0
